protocol,noise_model,parameter,circuit_label,n_failed_test_rounds,decoded_output,correct_value,match,computation_outcomes_count
FK12,malicious,0.3,circuit3825.qasm,17,1.0,1,✓,"{'010': 7, '100': 32, '110': 4, '000': 22, '011': 5, '101': 16, '001': 9, '111': 5}"
FK12,malicious,0.3,circuit8166.qasm,20,0.0,0,✓,"{'000': 44, '100': 27, '111': 5, '010': 11, '110': 4, '011': 7, '001': 2}"
FK12,malicious,0.3,circuit0453.qasm,22,0.0,0,✓,"{'001': 33, '111': 16, '011': 21, '000': 7, '101': 15, '010': 1, '110': 3, '100': 4}"
FK12,malicious,0.3,circuit5996.qasm,18,1.0,1,✓,"{'010': 17, '111': 5, '110': 21, '100': 22, '000': 22, '101': 4, '011': 4, '001': 5}"
FK12,malicious,0.3,circuit6162.qasm,17,,1,✗,"{'010': 16, '101': 9, '110': 25, '011': 6, '001': 22, '111': 14, '100': 2, '000': 6}"
FK12,malicious,0.3,circuit9009.qasm,17,0.0,0,✓,"{'001': 46, '101': 17, '111': 8, '010': 7, '110': 15, '000': 1, '011': 6}"
FK12,malicious,0.3,circuit7892.qasm,16,1.0,1,✓,"{'101': 42, '010': 12, '110': 8, '001': 29, '111': 3, '011': 4, '100': 2}"
FK12,malicious,0.3,circuit5525.qasm,17,1.0,1,✓,"{'100': 32, '010': 20, '000': 23, '110': 25}"
FK12,malicious,0.3,circuit2788.qasm,19,1.0,1,✓,"{'110': 37, '000': 4, '010': 26, '001': 14, '011': 5, '101': 8, '111': 5, '100': 1}"
FK12,malicious,0.3,circuit4214.qasm,16,1.0,1,✓,"{'101': 45, '010': 24, '001': 17, '110': 6, '100': 3, '111': 2, '000': 3}"
FK12,malicious,0.3,circuit4346.qasm,19,1.0,1,✓,"{'011': 30, '111': 45, '000': 15, '100': 10}"
FK12,malicious,0.3,circuit8043.qasm,16,1.0,1,✓,"{'110': 44, '010': 31, '101': 9, '001': 4, '100': 5, '000': 4, '111': 2, '011': 1}"
FK12,malicious,0.3,circuit6756.qasm,18,0.0,0,✓,"{'000': 7, '010': 34, '011': 7, '100': 13, '101': 1, '110': 21, '111': 10, '001': 7}"
FK12,malicious,0.3,circuit5450.qasm,20,0.0,0,✓,"{'000': 9, '111': 31, '011': 48, '100': 12}"
FK12,malicious,0.3,circuit1112.qasm,21,0.0,1,✗,"{'100': 32, '000': 28, '011': 18, '001': 4, '010': 11, '111': 4, '110': 2, '101': 1}"
FK12,malicious,0.35,circuit5231.qasm,16,0.0,0,✓,"{'100': 9, '001': 46, '101': 37, '000': 8}"
FK12,malicious,0.35,circuit9797.qasm,16,1.0,0,✗,"{'000': 40, '110': 24, '010': 9, '100': 27}"
FK12,malicious,0.35,circuit3874.qasm,19,0.0,1,✗,"{'010': 38, '001': 12, '110': 32, '101': 8, '000': 7, '100': 2, '011': 1}"
FK12,malicious,0.35,circuit0970.qasm,18,0.0,0,✓,"{'111': 5, '110': 27, '010': 40, '001': 4, '000': 12, '100': 12}"
FK12,malicious,0.35,circuit0389.qasm,14,,1,✗,"{'110': 42, '000': 24, '011': 2, '100': 6, '010': 23, '001': 1, '101': 2}"
FK12,malicious,0.35,circuit9534.qasm,17,1.0,1,✓,"{'001': 17, '101': 10, '000': 19, '100': 14, '110': 13, '010': 4, '011': 9, '111': 14}"
FK12,malicious,0.35,circuit6467.qasm,19,1.0,1,✓,"{'000': 16, '010': 11, '111': 14, '001': 9, '011': 13, '100': 17, '101': 10, '110': 10}"
FK12,malicious,0.35,circuit0874.qasm,21,0.0,0,✓,"{'101': 12, '000': 26, '111': 6, '100': 22, '001': 19, '011': 7, '010': 4, '110': 4}"
FK12,malicious,0.35,circuit2595.qasm,16,0.0,0,✓,"{'011': 37, '000': 7, '111': 25, '101': 6, '001': 6, '100': 17, '110': 1, '010': 1}"
FK12,malicious,0.35,circuit7844.qasm,14,,1,✗,"{'110': 25, '010': 13, '011': 9, '000': 19, '111': 6, '101': 11, '100': 8, '001': 9}"
FK12,malicious,0.35,circuit7404.qasm,22,1.0,1,✓,"{'111': 42, '000': 9, '011': 35, '100': 14}"
FK12,malicious,0.35,circuit1761.qasm,25,1.0,1,✓,"{'101': 44, '011': 25, '001': 21, '111': 10}"
FK12,malicious,0.35,circuit0614.qasm,19,0.0,1,✗,"{'000': 3, '110': 31, '010': 36, '011': 5, '001': 13, '101': 6, '111': 6}"
FK12,malicious,0.35,circuit3217.qasm,17,1.0,1,✓,"{'101': 2, '010': 4, '111': 43, '000': 14, '100': 10, '110': 1, '011': 26}"
FK12,malicious,0.35,circuit4894.qasm,16,0.0,0,✓,"{'010': 52, '110': 29, '001': 8, '101': 11}"
FK12,malicious,0.35,circuit9992.qasm,18,0.0,0,✓,"{'110': 15, '011': 13, '000': 14, '101': 6, '010': 12, '111': 9, '100': 11, '001': 20}"
FK12,malicious,0.35,circuit7338.qasm,18,1.0,1,✓,"{'110': 6, '111': 32, '000': 13, '010': 10, '011': 24, '100': 13, '001': 2}"
FK12,malicious,0.35,circuit1233.qasm,16,0.0,0,✓,"{'111': 22, '010': 15, '011': 24, '101': 4, '100': 5, '001': 4, '000': 10, '110': 16}"
FK12,malicious,0.35,circuit1952.qasm,17,1.0,1,✓,"{'011': 31, '110': 12, '111': 40, '010': 17}"
FK12,malicious,0.35,circuit8928.qasm,21,0.0,0,✓,"{'000': 4, '101': 17, '001': 33, '010': 10, '111': 10, '110': 8, '011': 15, '100': 3}"
FK12,malicious,0.35,circuit8080.qasm,21,1.0,1,✓,"{'111': 27, '010': 17, '011': 11, '110': 24, '100': 5, '001': 6, '101': 5, '000': 5}"
FK12,malicious,0.35,circuit5723.qasm,21,1.0,1,✓,"{'011': 17, '101': 30, '100': 3, '000': 4, '001': 24, '111': 17, '110': 4, '010': 1}"
