protocol,noise_model,parameter,circuit_label,n_failed_test_rounds,decoded_output,correct_value,match,computation_outcomes_count
FK12,malicious,0.6,circuit7303.qasm,30,None,0,✗,"{'101': 39, '011': 15, '001': 31, '111': 15}"
FK12,malicious,0.6,circuit2890.qasm,37,None,0,✗,"{'101': 42, '001': 31, '011': 13, '000': 2, '111': 9, '110': 2, '100': 1}"
FK12,malicious,0.6,circuit8792.qasm,26,None,0,✗,"{'010': 17, '101': 39, '100': 2, '011': 8, '110': 11, '001': 19, '111': 4}"
FK12,malicious,0.6,circuit7116.qasm,23,None,0,✗,"{'000': 3, '111': 13, '100': 5, '101': 20, '010': 20, '011': 20, '110': 16, '001': 3}"
FK12,malicious,0.6,circuit3701.qasm,31,None,1,✗,"{'111': 14, '011': 27, '000': 19, '100': 17, '001': 9, '101': 6, '110': 6, '010': 2}"
FK12,malicious,0.6,circuit2235.qasm,22,None,0,✗,"{'101': 29, '001': 17, '100': 7, '000': 7, '111': 14, '011': 15, '110': 6, '010': 5}"
FK12,malicious,0.6,circuit2994.qasm,26,None,1,✗,"{'101': 30, '010': 14, '001': 36, '110': 13, '100': 4, '000': 1, '011': 2}"
FK12,malicious,0.6,circuit6300.qasm,28,None,1,✗,"{'110': 11, '001': 18, '010': 27, '101': 12, '111': 9, '000': 6, '100': 13, '011': 4}"
FK12,malicious,0.6,circuit3915.qasm,27,None,1,✗,"{'010': 25, '101': 2, '011': 5, '000': 21, '110': 20, '100': 18, '001': 5, '111': 4}"
FK12,malicious,0.6,circuit2758.qasm,37,None,0,✗,"{'000': 30, '100': 29, '011': 12, '101': 1, '010': 10, '001': 4, '111': 9, '110': 5}"
FK12,malicious,0.6,circuit4577.qasm,26,None,1,✗,"{'000': 14, '111': 15, '110': 12, '101': 19, '001': 5, '010': 8, '011': 20, '100': 7}"
FK12,malicious,0.6,circuit2912.qasm,27,None,0,✗,"{'110': 18, '001': 4, '100': 27, '010': 19, '101': 7, '011': 4, '000': 20, '111': 1}"
